time,open,high,low,close,Volume
1546300800,3693.85,3703.25,3683.45,3693.83,94.46685773
1546304400,3692.89,3699.35,3676.13,3681.18,101.4568156
1546308000,3681.18,3683.55,3665,3678.24,108.1842052
1546311600,3680.84,3686.73,3678.12,3681.1,181.35096
1546315200,3681.1,3702.04,3679.63,3679.73,189.3940571
1546318800,3683.23,3692.85,3679.63,3689.96,114.5130994
1546322400,3690.85,3694.74,3686.11,3691.63,129.3683324
1546326000,3689.56,3716.79,3689.56,3700.05,227.3586055
1546329600,3700.05,3725.58,3698.83,3715.09,187.622905
1546333200,3714.25,3715.09,3690.78,3696.85,333.8362133
1546336800,3698.85,3711.63,3694.75,3705.73,94.23731027
1546340400,3706.86,3721.15,3700,3700,483.9351199
1546344000,3699.52,3716.21,3694.63,3713.02,181.7780184
1546347600,3710.86,3747.68,3705.91,3718.28,147.5207881
1546351200,3711.69,3720.07,3670.72,3698.35,248.3779468
1546354800,3691.65,3694.44,3668.26,3682.26,103.4916913
1546358400,3682.73,3692.53,3674.35,3691.41,76.10015696
1546362000,3690.96,3699.53,3675.64,3685.88,191.5903934
1546365600,3685.88,3685.88,3629.66,3659.81,378.6288782
1546369200,3659.35,3702.47,3659.35,3696.58,118.9246844
1546372800,3698.79,3745.25,3696.78,3729.06,378.9696728
1546376400,3723.08,3735.38,3713.49,3717.59,249.6812813
1546380000,3717.59,3728.34,3703.19,3715.37,233.0003303
1546383600,3715.37,3845.46,3713.82,3823.44,595.8179541
1546387200,3825.41,3836.89,3788.63,3801.68,235.4600411
1546390800,3802.16,3810.18,3788.62,3795.93,201.377363
1546394400,3793.73,3803.91,3791,3799.59,86.99058903
1546398000,3800,3813.03,3795.08,3796.62,61.66614949
1546401600,3799.12,3803,3790.84,3797.84,72.35035718
1546405200,3797.58,3803.64,3789.73,3797.97,81.7662956
1546408800,3796.32,3799.5,3770,3779.64,190.7590525
1546412400,3779.64,3800.27,3779.64,3796.89,116.9165978
1546416000,3796.9,3814.7,3790.51,3805.86,331.2595293
1546419600,3804.86,3808,3786.2,3793.93,343.1876211
1546423200,3795.66,3810.18,3785.69,3810.09,158.6421608
1546426800,3798.8,3829.87,3798.8,3810.44,308.9864554
1546430400,3810.43,3815.41,3795,3815.41,152.7379227
1546434000,3815.38,3863.39,3809.16,3839.8,311.5225357
1546437600,3841.51,3845.76,3813.11,3828.55,325.2828361
1546441200,3828.63,3835.35,3809.21,3815.27,239.535102
1546444800,3815.27,3890,3813.5,3845.92,505.0114607
1546448400,3848.15,3866.64,3836.35,3853.76,183.9258014
1546452000,3853.18,3855.72,3834.61,3850,226.2532938
1546455600,3850,3851.18,3821.42,3849.88,340.6751546
1546459200,3849.95,3881.49,3840.15,3878.38,172.2399355
1546462800,3878.38,3898.6,3859.53,3889.29,314.6656033
1546466400,3885.83,3918.67,3873.36,3888.16,219.1994991
1546470000,3905.81,3916.8,3884.31,3885.87,354.0581575
1546473600,3890.27,3893.4,3862.7,3862.7,269.8790683
1546477200,3863.15,3873.76,3850,3862.93,181.796611
1546480800,3862.97,3873.65,3858.52,3860.98,199.9489862
1546484400,3863.17,3876.26,3863.17,3872.22,67.47472064
