time,open,high,low,close,Volume,Volume MA
1587834000,7556.15,7566.41,7527.9,7548.98,70.58066482,192.9507414
1587837600,7548.98,7553.9,7533.53,7542.35,72.04974753,185.3999291
1587841200,7540.07,7559.75,7522.76,7547.56,151.9492128,190.0413865
1587859200,7565,7575,7550.8,7566.73,37.70905706,184.6988408
1587862800,7568.22,7590.88,7557.1,7566.31,73.40395455,184.2773167
1587866400,7566.31,7586.04,7556.88,7570.23,67.46226587,183.7213277
1587870000,7570.09,7580.23,7554.79,7580.23,30.18385639,182.6338808
1587873600,7577.13,7579.34,7549.15,7566.53,42.42162274,182.2191508
1587877200,7565.53,7566.22,7537.56,7538.5,47.88184734,177.0734837
1587880800,7537.56,7558.54,7534,7557.72,21.22560318,168.8175384
1587884400,7556.12,7569,7541.38,7553.68,32.00992427,158.0831036
1587888000,7554.65,7560.25,7535.2,7552.44,286.3576402,158.4371125
1587891600,7554.44,7603.01,7552.47,7587.56,171.4550485,158.4494481
1587895200,7587.53,7672.26,7576.91,7648.32,405.3164404,173.649925
1587898800,7654.79,7692.81,7619.35,7669.65,301.5158876,174.2192587
1587902400,7674,7682.5,7633.47,7653.67,284.0375292,185.0943508
1587906000,7655.68,7718,7632.62,7700.47,591.9866833,206.6338328
1587909600,7699.99,7714.25,7633.26,7644.27,232.0372849,207.1547945
1587913200,7646,7648.29,7485,7549.51,1139.252165,217.8675367
1587916800,7545.19,7595.63,7535.37,7573.64,147.3392153,210.3087826
1587920400,7571,7600,7557,7589.77,130.2451919,213.2920089
1587924000,7581.87,7637.65,7572.01,7628.02,203.532917,219.8661674
1587927600,7630.67,7663,7613.02,7659,141.3389882,219.3356561
1587931200,7665.05,7665.18,7631.14,7657.77,122.583951,223.5794008
1587934800,7656.29,7665.18,7625.02,7643.19,319.9708215,235.9077442
1587938400,7641.18,7650,7591.99,7619.69,204.1152182,242.7403918
1587942000,7618.96,7708.28,7618.16,7701.73,214.1577045,251.9390842
1587945600,7708.87,7788.23,7707.72,7759.78,614.9230383,280.564155
1587949200,7761.22,7813.68,7655.99,7705.07,906.2780366,323.4839645
1587952800,7701,7747.31,7695.5,7742.47,104.9554671,327.6704576
1587956400,7748.36,7764.99,7729.24,7738.76,167.26045,334.4329839
1587960000,7738.59,7752,7704.41,7747.47,72.35921655,323.7330628
1587963600,7746,7758.48,7692.81,7706.33,235.8575517,326.9531879
1587967200,7712.13,7732.88,7646.82,7665.39,391.3522079,326.2549763
1587970800,7660.76,7710,7639.8,7702.87,235.0999605,322.9341799
1587974400,7706.68,7752.43,7689.88,7712.47,384.6143751,327.9630222
1587978000,7717.19,7790.26,7686,7716.25,455.5712377,321.1422499
1587981600,7716.25,7728.9,7680,7704.3,231.2376028,321.1022658
1587985200,7704.3,7739.07,7692.66,7724.27,118.5906388,270.0691895
1587988800,7732.16,7739.07,7684.24,7710.32,203.1647476,272.8604661
1587992400,7706.76,7717.45,7637.65,7706.93,463.6612028,289.5312667
1587996000,7702.63,7705.73,7637.03,7683.45,463.8715385,302.5481978
1587999600,7678.54,7708.04,7661.87,7689.92,156.7878205,303.3206394
1588003200,7684.73,7701,7663.46,7678.4,208.9978399,307.6413338
1588006800,7677.18,7685.37,7646.82,7671.62,199.7895339,301.6322694
1588010400,7672.64,7726.95,7669.55,7717.62,164.4617852,299.6495978
1588014000,7721.69,7733.15,7700,7715.09,416.1667151,309.7500483
1588017600,7715.09,7725.89,7692.4,7708.39,67.35528726,282.3716608
1588021200,7706.08,7780,7703.74,7741.82,267.2717247,250.4213452
1588024800,7739.91,7785,7726.26,7776.55,121.8011858,251.2636311
1588028400,7784.51,7795,7752.91,7786.41,226.5933736,254.2302773
1588032000,7794.22,7798.42,7734.55,7747.64,188.7950155,260.0520672
1588035600,7752.57,7764.36,7694.85,7700,398.677997,268.1930895
1588039200,7701.87,7717.87,7675.96,7715.58,490.4611229,273.1485353
1588042800,7715.59,7722.53,7688.29,7712.94,324.6358342,277.6253289
1588046400,7712.26,7718,7670,7695.96,478.7141315,282.3303168
1588050000,7698.49,7711.63,7676.02,7704.89,416.5354677,280.3785283
1588053600,7705.16,7735,7650,7725.05,796.465312,308.6399137
1588057200,7718.66,7723.22,7700,7715.69,72.02567665,306.3116656
1588060800,7712.06,7715.63,7687.97,7697,86.61556847,300.4842067
1588064400,7695.24,7760,7695.2,7757.98,308.9881809,292.7505556
1588068000,7756.31,7770.52,7727.23,7757,138.6187105,276.4879142
1588071600,7759.46,7761.61,7740.01,7741.67,150.4577115,276.1714087
1588075200,7743.77,7775.09,7722.35,7771.79,273.6000733,279.4015204
1588078800,7771,7775,7735.8,7738.25,371.6170069,287.992894
1588082400,7738.26,7755.14,7688.65,7695.8,592.0560772,309.3726086
1588086000,7693.79,7739.62,7664.84,7728.32,740.7451192,325.6015288
1588089600,7727.94,7752.32,7712.7,7738.85,248.0994911,334.638739
1588093200,7733.43,7753.88,7719.64,7743.24,214.6003269,332.0051691
1588096800,7741.06,7754.4,7734.75,7749,134.6756302,332.6488914
1588100400,7749.1,7760,7713.52,7728.01,300.953028,336.3668741
