time,open,high,low,close,Volume,Volume MA
1394409600,638.52,648.3,606,626.9801,11563,21687.23134487849
1394496000,626.9801,641.9999,615.31,634.01,3625,21635.28437087799
1394582400,634.0001,654,631,636.2296,7275,20544.36227265499
1394668800,636.10235,648,634.5001,644.18,3301,19449.080280669492
1394755200,643.1,645,623.5,627.98,5500,18999.924301926992
1394841600,628.89,639.8899,626.3,635.45,1706,18219.686258036993
1394928000,635.45,638,628.5801,633,1897,16374.665309971493
1395014400,632,632.5,619.2,623.8,3750,12116.424021635492
1395100800,623.8,623.8,600,615.5999,7713,10599.594761537493
1395187200,615.5999,622.2,605.9841,609,3394,10228.368494147493
1395273600,608.9841,609,584,586.5551,8083,9816.899797343993
1395360000,588.8294,605.96,555.5,570.9999,19190,10397.799346702992
1395446400,570.9898,574.24,550.09,563,6731.31574226,10580.450805391492
1395532800,563,571,555,558,4833.2233738,8276.13488943499
1395619200,557.8884,590,550.5,585.6587,9263,7488.00448134299
1395705600,584.9899,586,568.55,583.9899,4892,7313.538581339491
1395792000,583.89,593.25,566.51,576.6,7647,7342.98907358699
1395878400,577.9999,579.4799,465,474,41011,8531.80425946549
1395964800,475,533.36,470,502.25,36013,9783.88238920199
1396051200,502.4996,507.99,485.45,492.4398,4626,9600.67695580299
1396137600,490.01,491.9999,436.2,460.9999,26146,10329.82695580299
1396224000,460.6,488,436.1,456.9899,22069.33696607,11252.04380410649
1396310400,456.3,513.9,453.4,479.9181,19999.30851213,11888.25922971299
1396396800,477.53,496.2,431.2,437.2203,29119.10461753,13179.164460589489
1396483200,436.5301,463,415.46,447.9999,24590.40649796,14133.684785487489
1396569600,447.1161,458.5899,430.2,447.0211,10562.85726872,14576.527648923488
1396656000,448.001,464.5,444.395,463.99,4573.75741601,14710.36551972399
1396742400,463.97,465.9998,450,458.78,2952.40660611,14670.485850029489
1396828800,458.5,461,445.05,446.58,6147.47600227,14592.209650142988
1396915200,445.222,458.8,445.01,452.3849,4860.84550485,14665.551925385487
1397001600,452.3849,455.1359089,440.0536,442.45,4167.09060669,14469.756455719986
1397088000,442.4499,442.8689,357,364.2,45002.96954952,15760.404933195987
1397174400,364.04989,433.6,340,421,38705.55691882,17359.116992023984
1397260800,421.999,441,413.0741,423.3,10732.24082875,17654.06786477149
1397347200,422.2001,428.2,400,418,10265.68368912,17704.202049227486
1397433600,417.6,478,406.4,460,29764,18947.802049227488
1397520000,460,526.995,452,519,24217,19776.302049227488
1397606400,519.11,547,495,531.25,29340,19192.752049227485
