time,open,high,low,close,Volume,Volume MA
1585591200,6359,6385,6336,6375,5864686.86645,14511378.553655034
1585594800,6373.5,6413,6354,6377.5,13073482.82175,15055099.835877534
1585598400,6377.5,6531,6372.5,6474.5,31519482.8714,14711772.493967537
1585602000,6474.5,6588,6474.5,6544.5,19792357.4094,15582057.565325037
1585605600,6544.5,6627.5,6450,6473.5,14288762.75295,15844481.203170037
1585609200,6470,6497.5,6380,6405,8592184.44455,16102191.435865035
1585612800,6406.5,6478,6392,6445,25067293.88465,16885100.950337537
1585616400,6445,6520.5,6445,6519,4518563.322,15549055.111737538
1585620000,6519,6525,6451.5,6455.5,4177616.13925,15139452.791252535
1585623600,6455.5,6482.5,6413.5,6446.5,6939944.6866,12624412.382947534
1585627200,6446.5,6461,6381,6401.5,11174421.6426,12426640.948485035
1585630800,6401.5,6439,6382,6418.5,5947858.11705,12312683.590227533
1585634400,6418.5,6474,6390.5,6470.5,8085319.3427,12498431.022427533
1585638000,6473.5,6473.5,6429,6447.5,3566380.47195,11399493.317437533
1585641600,6447,6509.5,6447,6496.5,5316999.3744,11190747.260020033
1585645200,6496,6503.5,6430,6444,9892877.59065,11454344.539970031
1585648800,6445,6447,6409,6435.5,8003642.8778,11336341.588570032
1585652400,6437.5,6437.5,6350,6398,10440964.0852,10935769.144477531
1585656000,6398,6473,6331.5,6454,18410078.7679,11119581.82501503
1585659600,6454,6488,6406.5,6425,14610452.45205,11464168.496065032
1585663200,6424,6487,6423,6464,10369898.5982,11689429.08265253
1585666800,6463,6514.5,6427,6460,23675116.1513,12219510.749130031
1585670400,6460,6477,6421,6436,5783392.3003,10932706.22057503
1585674000,6436,6468.5,6407.5,6461.5,8499174.1716,10368047.05868503
1585677600,6461,6498,6454,6472.5,7553330.8305,10031275.462562531
1585681200,6472.5,6482,6429.5,6474.5,17182480.8153,10460790.281100031
1585684800,6475.5,6506,6456.5,6475.5,6894832.8039,9552167.22706253
1585688400,6473,6494,6422.5,6451,4761916.561,9564334.88901253
1585692000,6451,6456,6426.5,6440.5,4951396.40635,9603023.902367529
1585695600,6441,6447.5,6402.5,6417.5,4028215.25,9457437.43053753
1585699200,6417,6434.5,6252.5,6309.5,27726855.4302,10285059.11991753
1585702800,6308.5,6327.5,6285.5,6292.5,4592895.9781,10217311.01297003
1585706400,6294,6325.5,6289.5,6322.5,4462705.55025,10036180.32334753
1585710000,6322.5,6389.5,6317.5,6375,6382323.95455,10176977.49747753
1585713600,6376.5,6384,6338,6345.5,3459379.611,10084096.50930753
1585717200,6345.5,6350,6293.5,6308,7066437.7969,9942774.519620031
1585720800,6308,6325.5,6269.5,6303,10850642.2613,10085124.48879503
1585724400,6304,6347,6288.5,6333,6224204.6991,9874286.51949003
1585728000,6333,6333,6285,6310.5,6304966.32095,9269030.897142531
1585731600,6310.5,6318.5,6263.5,6301.5,11250093.10205,9101012.929642532
1585735200,6301.5,6320,6287,6293,7675547.30795,8966295.365130031
1585738800,6293,6303.5,6268,6294,6837460.1168,8124412.563405031
1585742400,6294,6334,6188.5,6220.5,27979008.28800001,9234193.362790031
1585746000,6220.5,6242,6170,6210,15795716.4373,9599020.476075033
1585749600,6209.5,6266,6199.5,6255.5,10941275.82075,9768417.725587532
1585753200,6255.5,6264,6224.5,6238,10307557.57285,9424671.563465033
1585756800,6238,6238,6155,6191.5,15333844.1489,9846622.130715031
1585760400,6191.5,6225,6167.5,6206,9223562.27875,10069704.416602533
1585764000,6206,6230.5,6193,6197,4279601.9253,10036114.692550033
1585767600,6197,6228,6174,6216,8086741.01355,10239040.980727535
1585771200,6212,6403,6201.5,6349,20375832.61845,9871489.840140034
1585774800,6349,6430.5,6349,6370,10079387.64045,10145814.423257533
